"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26222","TC_05: Verify that clicking ""Fetch KYC Details"" opens the KYC section","iCACE Domestic Custody","Thu Apr 24 18:04:08 IST 2025","passed","Thu Apr 24 18:04:34 IST 2025","","05-pmsApplication.spec.js","",""
"","0","TC_03: To review all PDF documents and verify the AML check is successful, then approve the task","iCACE Domestic Custody","Thu Apr 24 18:07:48 IST 2025","skipped","Thu Apr 24 18:07:48 IST 2025","","07-amcReviewer.spec.js","",""
"","5840","TC_07: Verify that ""Add/Update"" under FATCA Details opens FATCA form","iCACE Domestic Custody","Thu Apr 24 18:04:38 IST 2025","passed","Thu Apr 24 18:04:44 IST 2025","","05-pmsApplication.spec.js","",""
"","1","TC_04: To Search the application ID for Investor Module page","iCACE Domestic Custody","Thu Apr 24 18:07:48 IST 2025","skipped","Thu Apr 24 18:07:48 IST 2025","","investorModule.spec.js","",""
"","2495","TC_02 : Click Investor Profile Dashboard Page","iCACE Domestic Custody","Thu Apr 24 18:03:42 IST 2025","passed","Thu Apr 24 18:03:44 IST 2025","","05-pmsApplication.spec.js","",""
"","0","TC_01: Login to iCACE AMC Reviewer with valid credentials","iCACE Domestic Custody","Thu Apr 24 18:07:48 IST 2025","skipped","Thu Apr 24 18:07:48 IST 2025","","07-amcReviewer.spec.js","",""
"","8506","TC_08: To complete the Investor Details section","iCACE Domestic Custody","Thu Apr 24 18:04:44 IST 2025","passed","Thu Apr 24 18:04:53 IST 2025","","05-pmsApplication.spec.js","",""
"","6","TC_01: Login iCACE Applictaion","iCACE Domestic Custody","Thu Apr 24 18:03:27 IST 2025","passed","Thu Apr 24 18:03:27 IST 2025","","05-pmsApplication.spec.js","",""
"","5874","TC_14: Verify the Additional Details functionality","iCACE Domestic Custody","Thu Apr 24 18:05:36 IST 2025","passed","Thu Apr 24 18:05:42 IST 2025","","05-pmsApplication.spec.js","",""
"","0","TC_01: Login to iCACE Custody Maker with valid credentials","iCACE Domestic Custody","Thu Apr 24 18:07:48 IST 2025","skipped","Thu Apr 24 18:07:48 IST 2025","","08-custodyMaker.spec.js","",""
"","0","TC_01: Verify user is navigated to Holder page","iCACE Domestic Custody","Thu Apr 24 18:07:48 IST 2025","skipped","Thu Apr 24 18:07:48 IST 2025","","investorModule.spec.js","",""
"","0","TC_02: To click the View Task page for Custody Application Management","iCACE Domestic Custody","Thu Apr 24 18:07:48 IST 2025","skipped","Thu Apr 24 18:07:48 IST 2025","","08-custodyMaker.spec.js","",""
"","0","TC_03: User enters valid 6-digit OTP and submits","iCACE Domestic Custody","Thu Apr 24 18:07:48 IST 2025","skipped","Thu Apr 24 18:07:48 IST 2025","","investorModule.spec.js","",""
"","0","TC_07: To Verify Confirmation of Additional Details","iCACE Domestic Custody","Thu Apr 24 18:07:48 IST 2025","skipped","Thu Apr 24 18:07:48 IST 2025","","investorModule.spec.js","",""
"","2360","TC_01: Navigate to External Admin Dashboard","iCACE Domestic Custody","Thu Apr 24 18:02:26 IST 2025","passed","Thu Apr 24 18:02:29 IST 2025","","04-amcManager.spec.js","",""
"","34162","TC_15: Select the documents required to complete the application","iCACE Domestic Custody","Thu Apr 24 18:05:42 IST 2025","passed","Thu Apr 24 18:06:16 IST 2025","","05-pmsApplication.spec.js","",""
"","6380","TC_11: Select the Schemes, Fee Type, and fill in the investment amount","iCACE Domestic Custody","Thu Apr 24 18:05:17 IST 2025","passed","Thu Apr 24 18:05:23 IST 2025","","05-pmsApplication.spec.js","",""
"","1","TC_03: To review all PDF documents and verify the AML check is successful, then approve the task","iCACE Domestic Custody","Thu Apr 24 18:07:48 IST 2025","skipped","Thu Apr 24 18:07:48 IST 2025","","08-custodyMaker.spec.js","",""
"","0","TC_02: User logs in with valid credentials","iCACE Domestic Custody","Thu Apr 24 18:07:48 IST 2025","skipped","Thu Apr 24 18:07:48 IST 2025","","investorModule.spec.js","",""
"","4378","TC_06: Verify that ""Add/Update"" under Occupation Details navigates to occupation form","iCACE Domestic Custody","Thu Apr 24 18:04:34 IST 2025","passed","Thu Apr 24 18:04:38 IST 2025","","05-pmsApplication.spec.js","",""
"","19200","TC_09: Investor(s) have the option to choose up to three Nominees for the application.","iCACE Domestic Custody","Thu Apr 24 18:04:53 IST 2025","passed","Thu Apr 24 18:05:12 IST 2025","","05-pmsApplication.spec.js","",""
"","0","TC_06: To Validate Investment Selection on Confirmation of Scheme","iCACE Domestic Custody","Thu Apr 24 18:07:48 IST 2025","skipped","Thu Apr 24 18:07:48 IST 2025","","investorModule.spec.js","",""
"","91030","TC_16: verify the application Summary Page","iCACE Domestic Custody","Thu Apr 24 18:06:16 IST 2025","failed","Thu Apr 24 18:07:47 IST 2025","","05-pmsApplication.spec.js","",""
"","7633","TC_02: Upload Stamp Paper using Offline Document Flow","iCACE Domestic Custody","Thu Apr 24 18:02:43 IST 2025","passed","Thu Apr 24 18:02:51 IST 2025","","04-amcManager.spec.js","",""
"","11028","TC_04: Verify the details are fetched after entering PAN","iCACE Domestic Custody","Thu Apr 24 18:03:57 IST 2025","passed","Thu Apr 24 18:04:08 IST 2025","","05-pmsApplication.spec.js","",""
"","36590","TC_03: Validate Stamp Paper Upload in Offline Document","iCACE Domestic Custody","Thu Apr 24 18:02:51 IST 2025","passed","Thu Apr 24 18:03:27 IST 2025","","04-amcManager.spec.js","",""
